"region",2016,2017,2018,2019,2020,2021
"Белгородская область",1553965,1554224,1551910,1551920,1549193,1540947
"Брянская область",1220548,1213075,1202671,1193180,1184133,1171845
"Владимирская область",1402656,1394996,1384819,1376582,1366384,1350639
"Воронежская область",2341760,2343280,2340861,2337457,2327739,2310877
"Ивановская область",999551,987203,972935,959459,946222,931473
"Калужская область",1042172,1048957,1051953,1052781,1054095,1064630
"Костромская область",628123,620092,610690,601815,593582,583596
"Курская область",1118759,1115926,1107508,1101403,1095604,1084868
"Липецкая область",1168270,1167649,1163882,1160836,1155138,1144374
"Московская область",7882899,8024182,8160757,8303032,8404864,8489558
"Орловская область",755247,748637,740588,733340,725578,715505
"Рязанская область",1135033,1131938,1126857,1121803,1115127,1104512
"Смоленская область",944279,937675,930243,920967,908257,893606
"Тамбовская область",1044761,1036355,1024187,1010592,999424,986089
"Тверская область",1298683,1287871,1273914,1261790,1249406,1233938
"Тульская область",1534873,1533698,1529328,1522369,1513299,1502152
"Ярославская область",1260496,1255397,1247850,1239717,1228638,1213650
"Москва",12426540,12571383,12745157,12887153,12963013,12997272
"Республика Карелия",591015,578819,565635,555068,546093,536924
"Республика Коми",817788,803653,787461,771255,756916,742395
"Ненецкий автономный округ",42401,42175,41835,41612,41583,41494
"Архангельская область",1076788,1058689,1039524,1021912,1004788,985162
"Вологодская область",1185243,1179666,1171486,1163259,1154820,1144246
"Калининградская область",982868,992214,1000498,1009884,1018468,1026313
"Ленинградская область",1831619,1856619,1892426,1932223,1964107,1991648
"Мурманская область",729119,719418,709332,698097,685413,671913
"Новгородская область",611801,606830,600354,594935,590560,584937
"Псковская область",635721,629303,621621,614980,608791,600993
"Санкт-Петербург",5368297,5450085,5520589,5563564,5584633,5598215
"Республика Адыгея",467564,471202,474576,482078,488987,494351
"Республика Калмыкия",277344,275685,273108,270936,269521,267661
"Республика Крым",1917721,1926234,1931205,1935709,1935281,1931511
"Краснодарский край",5614961,5673078,5724891,5773979,5804870,5823840
"Астраханская область",1002727,999464,994240,985507,974480,963399
"Волгоградская область",2561940,2553518,2543595,2532443,2519924,2503227
"Ростовская область",4253207,4248997,4237904,4230015,4223033,4204454
"Севастополь",447986,469051,489578,510995,527088,539630
"Республика Дагестан",3046906,3073954,3099781,3126938,3152863,3175870
"Республика Ингушетия",470384,476837,484116,492438,500340,507658
"Кабардино-Балкарская республика",881219,886233,890342,894760,898978,902476
"Карачаево-Черкесская республика",469557,469583,469882,470105,470308,469682
"Республика Северная Осетия - Алания",702982,701642,699240,696345,692869,688096
"Чеченская республика",1404852,1425882,1446552,1467050,1487170,1505603
"Ставропольский край",2864896,2875772,2882213,2894529,2904146,2903318
"Республика Башкортостан",4116385,4120782,4120410,4115453,4104463,4093857
"Республика Марий Эл",687739,686409,684692,683686,681613,678070
"Республика Мордовия",813367,813090,807577,801163,793859,785082
"Республика Татарстан",3932921,3956764,3974375,3989152,3997023,3998887
"Удмуртская республика",1498971,1493657,1485682,1476440,1466282,1454945
"Чувашская республика - Чувашия",1227872,1224210,1217054,1209255,1200388,1189342
"Пермский край",2618357,2610139,2596807,2581988,2562731,2537933
"Кировская область",1250270,1235739,1218763,1201063,1182667,1160985
"Нижегородская область",3236317,3220481,3200781,3181635,3159332,3126706
"Оренбургская область",1954702,1939640,1920172,1904146,1888872,1867547
"Пензенская область",1338461,1328720,1315622,1301298,1286654,1269953
"Самарская область",3221165,3217895,3210539,3206514,3195048,3174117
"Саратовская область",2517620,2511589,2498661,2484437,2467866,2444309
"Ульяновская область",1248955,1242345,1234009,1224520,1213385,1199376
"Курганская область",841365,830177,817465,805272,794199,780364
"Свердловская область",4329309,4326875,4319999,4312661,4299797,4276579
"Ханты-Мансийский автономный округ - Югра",1642223,1657448,1667352,1678245,1691220,1705983
"Ямало-Ненецкий автономный округ",513393,511860,510953,510367,509422,510010
"Тюменская область",1491098,1517952,1543262,1567267,1584167,1596039
"Челябинская область",3502934,3499368,3486357,3473309,3457131,3433528
"Республика Алтай",210574,211051,211019,211127,211229,210976
"Республика Тыва",318834,322162,325396,328476,331888,334988
"Республика Хакасия",539511,540346,540117,538969,537293,534668
"Алтайский край",2314315,2290644,2263889,2237107,2208563,2173970
"Красноярский край",2874424,2880081,2880100,2875636,2867233,2859356
"Иркутская область",2414025,2410290,2405290,2399358,2388558,2372103
"Кемеровская область - Кузбасс",2706960,2694486,2676139,2656497,2634981,2607141
"Новосибирская область",2779423,2794287,2802770,2808986,2806789,2799459
"Омская область",1961304,1949563,1932800,1913594,1890857,1864832
"Томская область",1075082,1075323,1074081,1074060,1069994,1063999
"Республика Бурятия",980863,981428,980413,980819,981527,979453
"Забайкальский край",1059975,1051005,1040538,1030090,1019906,1007620
"Республика Саха (Якутия)",964390,967159,969732,974061,981987,992542
"Камчатский край",305166,303034,301213,298132,294810,292913
"Приморский край",1914487,1904449,1892360,1881968,1867932,1850077
"Хабаровский край",1330017,1326346,1320136,1313552,1302772,1293932
"Амурская область",799170,794737,789657,784666,778191,768631
"Магаданская область",145034,143741,141407,139267,137993,136627
"Сахалинская область",477022,477456,477282,474937,471462,467639
"Еврейская автономная область",162743,160362,157877,155685,153641,151073
"Чукотский автономный округ",48903,48314,48046,48324,48066,47745
