"region","economic_region","iso_code"
"Брянская область","Central","RU-BRY"
"Владимирская область","Central","RU-VLA"
"Ивановская область","Central","RU-IVA"
"Калужская область","Central","RU-KLU"
"Костромская область","Central","RU-KOS"
"Москва","Central","RU-MOW"
"Московская область","Central","RU-MOS"
"Орловская область","Central","RU-ORL"
"Смоленская область","Central","RU-SMO"
"Тверская область","Central","RU-TVE"
"Тульская область","Central","RU-TUL"
"Рязанская область","Central","RU-RYA"
"Ярославская область","Central","RU-YAR"
"Нижегородская область","Volga-Vyatka","RU-NIZ"
"Республика Марий Эл","Volga-Vyatka","RU-ME"
"Кировская область","Volga-Vyatka","RU-KIR"
"Республика Мордовия","Volga-Vyatka","RU-MO"
"Чувашская республика - Чувашия","Volga-Vyatka","RU-CU"
"Курганская область","Ural","RU-KGN"
"Свердловская область","Ural","RU-SVE"
"Челябинская область","Ural","RU-CHE"
"Пермский край","Ural","RU-PER"
"Оренбургская область","Ural","RU-ORE"
"Республика Башкортостан","Ural","RU-BA"
"Удмуртская республика","Ural","RU-UD"
"Астраханская область","Volga","RU-AST"
"Волгоградская область","Volga","RU-VGG"
"Саратовская область","Volga","RU-SAR"
"Самарская область","Volga","RU-SAM"
"Ульяновская область","Volga","RU-ULY"
"Пензенская область","Volga","RU-PNZ"
"Республика Калмыкия","Volga","RU-KL"
"Республика Татарстан","Volga","RU-TA"
"Белгородская область","Central-Chernozem","RU-BEL"
"Воронежская область","Central-Chernozem","RU-VOR"
"Курская область","Central-Chernozem","RU-KRS"
"Липецкая область","Central-Chernozem","RU-LIP"
"Тамбовская область","Central-Chernozem","RU-TAM"
"Архангельская область","North","RU-ARK"
"Мурманская область","North","RU-MUR"
"Вологодская область","North","RU-VLG"
"Республика Карелия","North","RU-KR"
"Республика Коми","North","RU-KO"
"Ненецкий автономный округ","North","RU-NEN"
"Ленинградская область","Northwest","RU-LEN"
"Калининградская область","Northwest","RU-KGD"
"Новгородская область","Northwest","RU-NGR"
"Псковская область","Northwest","RU-PSK"
"Санкт-Петербург","Northwest","RU-SPE"
"Краснодарский край","North Caucasus","RU-KDA"
"Ставропольский край","North Caucasus","RU-STA"
"Ростовская область","North Caucasus","RU-ROS"
"Республика Адыгея","North Caucasus","RU-AD"
"Республика Дагестан","North Caucasus","RU-DA"
"Республика Ингушетия","North Caucasus","RU-IN"
"Карачаево-Черкесская республика","North Caucasus","RU-KC"
"Кабардино-Балкарская республика","North Caucasus","RU-KB"
"Республика Северная Осетия - Алания","North Caucasus","RU-SE"
"Чеченская республика","North Caucasus","RU-CE"
"Алтайский край","West Siberia","RU-ALT"
"Кемеровская область - Кузбасс","West Siberia","RU-KEM"
"Новосибирская область","West Siberia","RU-NVS"
"Омская область","West Siberia","RU-OMS"
"Томская область","West Siberia","RU-TOM"
"Тюменская область","West Siberia","RU-TYU"
"Республика Алтай","West Siberia","RU-AL"
"Ханты-Мансийский автономный округ - Югра","West Siberia","RU-KHM"
"Ямало-Ненецкий автономный округ","West Siberia","RU-YAN"
"Красноярский край","East Siberia","RU-KYA"
"Иркутская область","East Siberia","RU-IRK"
"Забайкальский край","East Siberia","RU-ZAB"
"Республика Бурятия","East Siberia","RU-BU"
"Республика Тыва","East Siberia","RU-TY"
"Республика Хакасия","East Siberia","RU-KK"
"Приморский край","Far East","RU-PRI"
"Хабаровский край","Far East","RU-KHA"
"Еврейская автономная область","Far East","RU-YEV"
"Амурская область","Far East","RU-AMU"
"Камчатский край","Far East","RU-KAM"
"Магаданская область","Far East","RU-MAG"
"Чукотский автономный округ","Far East","RU-CHU"
"Сахалинская область","Far East","RU-SAK"
"Республика Саха (Якутия)","Far East","RU-SA"
