"branch","type","name","region"
"economic","cassation","Арбитражный суд Волго-Вятского округа","Нижегородская область"
"economic","cassation","Арбитражный суд Восточно-Сибирского округа","Иркутская область"
"economic","cassation","Арбитражный суд Дальневосточного округа","Хабаровский край"
"economic","cassation","Арбитражный суд Западно-Сибирского округа","Тюменская область"
"economic","cassation","Арбитражный суд Московского округа","Москва"
"economic","cassation","Арбитражный суд Поволжского округа","Республика Татарстан"
"economic","cassation","Арбитражный суд Северо-Западного округа","Санкт-Петербург"
"economic","cassation","Арбитражный суд Северо-Кавказского округа","Краснодарский край"
"economic","cassation","Арбитражный суд Уральского округа","Свердловская область"
"economic","cassation","Арбитражный суд Центрального округа","Калужская область"
"economic","appeal","Первый арбитражный апелляционный суд","Владимирская область"
"economic","appeal","Второй арбитражный апелляционный суд","Кировская область"
"economic","appeal","Третий арбитражный апелляционный суд","Красноярский край"
"economic","appeal","Четвертый арбитражный апелляционный суд","Забайкальский край"
"economic","appeal","Пятый арбитражный апелляционный суд","Приморский край"
"economic","appeal","Шестой арбитражный апелляционный суд","Хабаровский край"
"economic","appeal","Седьмой арбитражный апелляционный суд","Томская область"
"economic","appeal","Восьмой арбитражный апелляционный суд","Омская область"
"economic","appeal","Девятый арбитражный апелляционный суд","Москва"
"economic","appeal","Десятый арбитражный апелляционный суд","Москва"
"economic","appeal","Одиннадцатый арбитражный апелляционный суд","Самарская область"
"economic","appeal","Двенадцатый арбитражный апелляционный суд","Саратовская область"
"economic","appeal","Тринадцатый арбитражный апелляционный суд","Санкт-Петербург"
"economic","appeal","Четырнадцатый арбитражный апелляционный суд","Вологодская область"
"economic","appeal","Пятнадцатый арбитражный апелляционный суд","Ростовская область"
"economic","appeal","Шестнадцатый арбитражный апелляционный суд","Ставропольский край"
"economic","appeal","Семнадцатый арбитражный апелляционный суд","Пермский край"
"economic","appeal","Восемнадцатый арбитражный апелляционный суд","Челябинская область"
"economic","appeal","Девятнадцатый арбитражный апелляционный суд","Воронежская область"
"economic","appeal","Двадцатый арбитражный апелляционный суд","Тульская область"
"economic","appeal","Двадцать первый арбитражный апелляционный суд","Севастополь"
"ordinary","cassation","Первый кассационный суд общей юрисдикции","Саратовская область"
"ordinary","cassation","Второй кассационный суд общей юрисдикции","Москва"
"ordinary","cassation","Третий кассационный суд общей юрисдикции","Санкт-Петербург"
"ordinary","cassation","Четвертый кассационный суд общей юрисдикции","Краснодарский край"
"ordinary","cassation","Пятый кассационный суд общей юрисдикции","Ставропольский край"
"ordinary","cassation","Шестой кассационный суд общей юрисдикции","Самарская область"
"ordinary","cassation","Седьмой кассационный суд общей юрисдикции","Челябинская область"
"ordinary","cassation","Восьмой кассационный суд общей юрисдикции","Кемеровская область - Кузбасс"
"ordinary","cassation","Девятый кассационный суд общей юрисдикции","Приморский край"
"ordinary","cassation","Кассационный военный суд","Новосибирская область"
"ordinary","appeal","Первый апелляционный суд общей юрисдикции","Москва"
"ordinary","appeal","Второй апелляционный суд общей юрисдикции","Санкт-Петербург"
"ordinary","appeal","Третий апелляционный суд общей юрисдикции","Краснодарский край"
"ordinary","appeal","Четвертый апелляционный суд общей юрисдикции","Нижегородская область"
"ordinary","appeal","Пятый апелляционный суд общей юрисдикции","Новосибирская область"
"ordinary","appeal","Апелляционный военный суд","Московская область"
"ordinary","supreme","Верховный суд","Москва"
"consitutional","first","Конституционный суд","Санкт-Петербург"
