tin,year,employees_count
0101013292,2021,1
0104015040,2018,2
0104015040,2019,2
0104015040,2020,2
0104015040,2021,2
0104015040,2022,2
0105006257,2018,24
0105006257,2020,1
0105036692,2018,2
0105036692,2019,2
0105036692,2020,2
0105036692,2021,2
0105036692,2022,2
0105038210,2018,1
0105040900,2018,1
0105040900,2019,1
0105040900,2020,1
0105043259,2018,1
0105043259,2019,1
0105043259,2020,1
0105043259,2021,0
0105043259,2022,1
0105043851,2018,3
0105043851,2019,4
0105043851,2020,4
0105043851,2021,5
0105043851,2022,5
0105050129,2018,1
0105050129,2019,1
0105050129,2020,3
0105050129,2021,3
0105050129,2022,3
0105050150,2018,0
0105050150,2019,1
0105050150,2020,1
0105050489,2018,1
0105050489,2019,0
0105050489,2020,1
0105057029,2018,1
0105057029,2019,1
0105057029,2020,1
0105057029,2021,1
0105057029,2022,1
0105057075,2018,3
0105057075,2019,2
0105057075,2020,0
0105057075,2021,2
0105057075,2022,4
0105060293,2018,10
0105060293,2019,9
0105060293,2020,15
0105060293,2021,4
0105060293,2022,2
0105061882,2018,2
0105061882,2019,4
0105061882,2020,3
0105061882,2021,2
0105061882,2022,2
0105062300,2018,1
0105062300,2019,1
0105062558,2018,1
0105062558,2019,1
0105062558,2020,0
0105062727,2018,1
0105062727,2019,1
0105062727,2020,1
0105062727,2021,1
0105062727,2022,1
0105065090,2018,2
0105065090,2019,2
0105065090,2020,2
0105065090,2021,1
0105065090,2022,1
0105066880,2018,2
0105066880,2019,1
0105066880,2020,1
0105066880,2021,1
0105066880,2022,1
0105071802,2018,1
0105071802,2019,1
0105071802,2020,1
0105071802,2021,1
0105071802,2022,1
0105073990,2018,0
0105073990,2019,0
0105073990,2020,0
0105073990,2021,1
0105073990,2022,1
0105074507,2018,10
0105074507,2019,1
0105074507,2020,1
0105076536,2018,0
0105076536,2019,1
0105076624,2018,3
0105076624,2019,1
0105076624,2020,1
0105076624,2021,1
0105076624,2022,0
0105078283,2018,2
0105078283,2019,2
0105078283,2020,2
0105078283,2021,0
0105078283,2022,2
0105078607,2018,2
0105078607,2019,1
0105078607,2020,1
0105078607,2021,1
0105079336,2018,1
0105079336,2019,1
0105079336,2020,1
0105079336,2021,1
0105079336,2022,4
0105079424,2018,1
0105079424,2019,1
0105079512,2018,1
0105079512,2019,1
0105079512,2021,1
0105079512,2022,1
0105079576,2018,1
0105079576,2019,0
0105079576,2020,0
0105079576,2021,0
0105079576,2022,0
0105079583,2018,0
0105079583,2019,1
0105079583,2020,1
0105079583,2021,0
0105079583,2022,0
0105079992,2020,0
0105080074,2018,10
0105080074,2019,9
0105080074,2020,9
0105080074,2021,8
0105080074,2022,8
0105080370,2018,1
0105080370,2019,1
0105080370,2020,1
0105080370,2021,1
0105080370,2022,1
0105081670,2019,0
0105081670,2020,1
0105081670,2021,1
0105081670,2022,3
0105082071,2020,2
0105082071,2021,7
0105082071,2022,5
0105083004,2021,0
0105083004,2022,1
0105083188,2021,1
0105083188,2022,1
0105083283,2021,1
0105083283,2022,1
0106004238,2018,1
0106004238,2019,3
0106004238,2020,2
0106004238,2021,3
0106004238,2022,2
0107018339,2018,0
0107018339,2019,1
0107019318,2019,1
0107022085,2018,0
0107022085,2019,1
0107022085,2020,1
0107026114,2018,1
0107026114,2019,1
0107026114,2020,1
0107026114,2022,1
0107027372,2018,4
0107027372,2019,3
0107028256,2018,0
0107028256,2019,1
0107028256,2020,0
0107028256,2021,1
0107028256,2022,1
0107029517,2018,1
0107029517,2021,0
0107030456,2019,1
0107030456,2020,1
0107030456,2021,1
0107031668,2018,1
0107031668,2019,1
0107032213,2019,1
0107032213,2020,1
0107032213,2021,1
0107032213,2022,1
0107033129,2018,2
0107033129,2019,2
0107033619,2018,1
0107033619,2019,1
0107035133,2019,1
0107035133,2020,0
0107035133,2021,1
0107037081,2021,2
0201012140,2022,1
0201013909,2018,1
0201013909,2019,2
0201013909,2020,3
0201013909,2021,0
0201013909,2022,0
0202010925,2019,0
0202010925,2020,0
0202011566,2020,1
0202011566,2022,1
0202011679,2020,1
0202011679,2021,1
0202011679,2022,1
0202012200,2021,0
0204005832,2018,0
0204995450,2021,3
0205008346,2018,0
0205008346,2019,0
0205008346,2020,0
0205008346,2021,0
0205008346,2022,0
0205009082,2020,0
0207006915,2018,4
0207006915,2019,3
0207006915,2020,0
0207006915,2021,0
0207007588,2020,0
0207007588,2021,2
0207007588,2022,3
0207007637,2021,0
0207007637,2022,0
0207007901,2021,1
0207007901,2022,5
0207008060,2022,1
0210028073,2019,1
0210028355,2019,0
0210028355,2020,0
0210028355,2021,0
0210028355,2022,0
0214007194,2020,5
0214007194,2021,33
0214007194,2022,20
0214007405,2020,0
0214007405,2021,1
0214007405,2022,1
0216003438,2018,1
0216003438,2019,2
0216003438,2020,2
0216003438,2021,2
0216003438,2022,1
0217006791,2018,1
0217006791,2019,1
0218004518,2018,2
0218004518,2019,2
0218004518,2020,3
0218004518,2022,1
0219009491,2020,1
0219009491,2021,1
0219009491,2022,2
0220024550,2018,1
0220024550,2019,1
0220024550,2020,0
0220024550,2021,1
0220024550,2022,0
0221006184,2018,0
0221006184,2019,1
0221006184,2021,1
0221006184,2022,1
0222000280,2018,1
0223004778,2018,1
0223004778,2019,1
0223004778,2020,0
0224012980,2018,1
0224012980,2019,1
0224012980,2020,1
0224012980,2021,1
0224012980,2022,1
0224013292,2018,0
0224013292,2019,0
0224013292,2020,1
0224013292,2021,1
0224013292,2022,0
0224952831,2018,1
0224952831,2019,1
0224952831,2020,0
0224952831,2021,0
0224953218,2018,0
0224953218,2019,0
0224953218,2020,0
0224953218,2021,1
0224953218,2022,1
0224953962,2020,1
0224954733,2019,1
0224954733,2020,1
0224954733,2021,1
0224954733,2022,1
0224957220,2021,0
0224957220,2022,1
0225010784,2019,0
0225010784,2021,0
0227007096,2018,0
0227007096,2019,0
0228006962,2019,1
0228006962,2020,1
0228006962,2021,0
0228006970,2018,1
0228006970,2019,1
0228006970,2020,1
0228006970,2021,0
0228006970,2022,0
0228996156,2021,0
0228996156,2022,1
0229013835,2018,0
0229952730,2018,1
0229954014,2020,1
0229954014,2021,2
0229954014,2022,3
0229954960,2021,0
0230005250,2018,4
0232006877,2018,0
0232006877,2019,1
0232006877,2020,0
0232006877,2021,1
0232006877,2022,1
0232007736,2018,2
0232007736,2019,1
0232007736,2020,1
0232011348,2018,1
0232011348,2019,1
0233007270,2018,0
0233007270,2019,0
0233007270,2020,1
0233007270,2021,1
0233007270,2022,1
0233008316,2019,1
0233008316,2020,0
0234009418,2022,0
0234009489,2022,1
0236014269,2020,1
0239951164,2020,1
0239951164,2021,1
0240020145,2020,0
0240020145,2021,0
0241005510,2019,1
0241006143,2018,1
0241006143,2019,1
0241006143,2020,1
0241006143,2021,0
0241006143,2022,0
0242007372,2018,4
0242007372,2019,4
0242007372,2020,4
0242007372,2021,3
0242007372,2022,3
0242008496,2018,3
0242008496,2019,7
0242008496,2020,3
0242008496,2021,3
0242008496,2022,3
0242010086,2018,2
0242010086,2019,4
0242010086,2020,4
0242010086,2021,1
0242010086,2022,0
0242010216,2018,1
0242010216,2019,1
0242010216,2020,3
0242010216,2021,0
0242010216,2022,0
0242010223,2018,1
0242010223,2019,1
0245011602,2018,1
0245011602,2020,0
0245012081,2018,5
0245012081,2019,4
0245012081,2020,0
0245012081,2021,1
0245012081,2022,1
0245021336,2018,0
0245021336,2019,0
0245022932,2018,5
0245022932,2019,5
0245022932,2020,5
0245022932,2021,9
0245022932,2022,9
0245023037,2018,1
0245023037,2019,1
0245023037,2020,0
0245023037,2021,3
0245023037,2022,0
0245025891,2018,2
0245025891,2019,2
0245025891,2020,0
0245025891,2022,0
0245026077,2018,1
0245026976,2018,1
0245026976,2019,1
0245026976,2020,1
0245026976,2021,1
0245952889,2018,1
0245952889,2019,1
0245952889,2020,1
0245952889,2021,1
0245956001,2018,1
0245956001,2019,1
0245956001,2020,1
0245956001,2021,1
0245956001,2022,1
0245957012,2019,1
0245957012,2020,1
0245957012,2021,1
0245957012,2022,0
0245957647,2018,1
0245958217,2018,1
0245958217,2019,1
0245958217,2020,1
0245958217,2021,1
0245958217,2022,0
0245959620,2019,1
0245959620,2020,1
0245959620,2021,1
0245959620,2022,1
0245961636,2021,1
0245961636,2022,1
0245964267,2020,0
0245964796,2021,0
0245964796,2022,0
0245965341,2021,2
0245965341,2022,0
0245965937,2021,1
0245969106,2022,1
0245969226,2022,1
0250011750,2018,1
0250011750,2019,1
0250011750,2020,1
0250011750,2021,1
0250011750,2022,3
0250012626,2018,1
0250012626,2019,1
0250015190,2018,2
0250015190,2019,2
0250015190,2020,2
0250015190,2021,2
0250015190,2022,2
0250018674,2020,1
0250018674,2021,2
0250018674,2022,3
0250019815,2022,1
0251007298,2022,1
0251007594,2018,1
0251007594,2019,1
0251007594,2020,1
0251007594,2021,1
0251007594,2022,1
0254009180,2018,1
0254009180,2019,1
0254009180,2020,2
0254009180,2021,2
0254011849,2018,2
0254011849,2019,1
0254013606,2018,1
0254013719,2018,0
0254013719,2019,0
0254013719,2020,0
0254013719,2021,0
0254013719,2022,1
0254028176,2021,0
0254028176,2022,0
0255012468,2018,1
0255012468,2019,1
0255012468,2020,1
0255012468,2021,1
0255012468,2022,1
0255014031,2018,1
0255014031,2019,0
0255014031,2020,0
0255014031,2022,1
0255015765,2018,1
0255015765,2019,1
0255017120,2018,3
0255017120,2019,4
0255017120,2020,5
0255017120,2021,1
0255017120,2022,1
0255017353,2018,0
0255017353,2019,1
0255017402,2018,2
0255017402,2019,4
0255017402,2020,2
0255017402,2021,2
0255017402,2022,2
0255018773,2018,0
0255018773,2019,0
0255018773,2020,0
0255018773,2021,0
0255018773,2022,0
0255019270,2018,1
0255019270,2019,1
0255019270,2020,2
0255019270,2021,2
0255019270,2022,1
0255019657,2018,2
0255019657,2019,1
0255019657,2020,0
0255019657,2021,0
0255019657,2022,0
0255019760,2018,0
0255019760,2019,1
0255019784,2018,1
0255019784,2019,1
0255019784,2020,1
0255019784,2021,1
0255019784,2022,1
0255022040,2019,1
0255022040,2020,1
0255022040,2021,1
0255022040,2022,1
0255022459,2020,1
0255022459,2021,1
0255022459,2022,1
0256018416,2018,1
0256018416,2019,1
0256018416,2020,1
0256018416,2021,1
0256018600,2018,3
0256018600,2019,3
0256018600,2020,3
0256018600,2021,5
0256018600,2022,5
0256022691,2018,2
0256022691,2019,2
0256022691,2020,2
0256022691,2021,3
0256022691,2022,3
0256024071,2018,1
0256024071,2019,1
0256024071,2020,1
0256024071,2021,1
0256024071,2022,1
0256024554,2018,0
0256024554,2019,0
0256024554,2020,0
0256024554,2021,0
0256995806,2018,0
0256995806,2019,1
0256995806,2020,1
0256995806,2021,0
0256995806,2022,0
0256997465,2018,2
0256997465,2019,3
0256997465,2020,2
0256997465,2021,2
0256998035,2019,1
0256998035,2020,1
0256998035,2021,2
0256998035,2022,2
0256998363,2019,0
0256998363,2020,6
0256998363,2021,11
0256998363,2022,12
0257006974,2022,1
0257010177,2018,2
0257010177,2020,4
0257010177,2021,5
0257010177,2022,4
0257010353,2018,1
0257011149,2018,0
0257011519,2019,1
0257011519,2020,0
0257011519,2021,1
0257011519,2022,1
0257012150,2018,0
0257012520,2019,1
0257012520,2020,1
0257012520,2021,0
0257012520,2022,0
0257013996,2022,1
0258014826,2018,1
0258014826,2019,1
0258014826,2020,1
0258950085,2018,1
0258950575,2018,0
0258950575,2019,1
0258950575,2020,0
0258950575,2021,0
0258950575,2022,0
0258950790,2018,1
0258950790,2019,1
0258950790,2020,1
0259012170,2018,0
0259012170,2019,0
0259012170,2020,0
0259012170,2021,0
0259013134,2018,11
0259013134,2019,8
0259013134,2020,7
0259013134,2021,6
0259013134,2022,6
0259013818,2018,5
0259013818,2019,1
0259013818,2020,0
0259016706,2020,0
0259016706,2021,1
0259016706,2022,1
0259017435,2022,0
0260003797,2018,1
0260003797,2019,2
0260003797,2020,0
0260003797,2021,3
0260003797,2022,3
0260995333,2019,1
0260995333,2020,1
0260995333,2021,1
0260995333,2022,0
0261010476,2018,3
0261010476,2019,3
0261010476,2020,3
0261010476,2021,3
0261010476,2022,3
0261015996,2018,4
0261015996,2019,4
0261015996,2020,0
0261015996,2021,0
0261015996,2022,0
0261016799,2018,0
0261016799,2019,0
0261020763,2018,2
0261021260,2018,1
0261021260,2019,1
0261021260,2020,1
0261021260,2021,1
0261021260,2022,1
0261028900,2018,1
0261028900,2019,1
0261028900,2020,0
0261028900,2021,1
0261028900,2022,1
0261037407,2018,1
0261037407,2019,1
0261038425,2018,1
0261045253,2020,0
0261045253,2021,2
0261045253,2022,0
0261047370,2022,1
0262011183,2018,0
0262011183,2019,0
0262011183,2020,0
0262011183,2021,0
0262011183,2022,0
0262011458,2018,1
0262011458,2019,1
0262011458,2021,1
0262011458,2022,0
0262014762,2018,0
0262014762,2019,0
0262014762,2020,3
0262014762,2021,4
0262014762,2022,6
0262023301,2020,0
0262023301,2021,0
0262023301,2022,0
0262028740,2018,0
0262028740,2019,1
0262028740,2020,0
0262028740,2021,1
0262031285,2018,2
0262031285,2019,2
0262031285,2020,2
0262031285,2021,0
0262031285,2022,0
0263009067,2018,6
0263009067,2019,3
0263009067,2020,5
0263009067,2021,0
0263009067,2022,5
0263014885,2018,1
0263014885,2019,1
0263017597,2018,1
0263017597,2019,1
0263017597,2020,1
0263017597,2021,1
0263017597,2022,1
0263018015,2018,1
0263018015,2019,0
0263018015,2020,1
0263024393,2018,0
0263024393,2019,0
0263024393,2020,0
0263024393,2021,0
0263024393,2022,1
0263025125,2018,0
0263025125,2019,2
0263025125,2020,2
0263025125,2021,2
0263025125,2022,0
0263027605,2018,0
0263027605,2019,0
0263027605,2020,1
0263027605,2021,0
0263027605,2022,1
0263028253,2019,0
0263034909,2022,1
0264050597,2018,2
0264050597,2019,1
0264050597,2021,2
0264050597,2022,2
0264054111,2018,6
0264054111,2019,5
0264054111,2020,3
0264054111,2021,2
0264054111,2022,2
0264056246,2018,2
0264056246,2019,1
0264060108,2018,1
0264060108,2019,2
0264060108,2020,1
0264060108,2021,2
0264060122,2018,0
0264060122,2019,0
0264060122,2020,0
0264061510,2018,0
0264061510,2019,1
0264061510,2020,1
0264061510,2021,1
0264061510,2022,1
0264062306,2018,2
0264062306,2019,1
0264062306,2020,1
0264062306,2021,1
0264062306,2022,0
0264066420,2018,2
0264066420,2019,1
0264067833,2018,0
0264067833,2019,0
0264067833,2020,0
0264067833,2021,1
0264067833,2022,1
0264069693,2018,1
0264069693,2019,1
0264071290,2018,0
0264071290,2019,1
0264071290,2020,0
0264071290,2021,0
0264071290,2022,0
0264071477,2018,0
0264071893,2018,1
0264071893,2019,1
0264071893,2020,1
0264071893,2021,1
0264071893,2022,1
0264072745,2018,1
0264072745,2019,1
0264072745,2020,1
0264072745,2021,1
0264072801,2018,1
0264072801,2019,1
0264072801,2020,1
0264072801,2021,0
0264072801,2022,5
0264076228,2018,0
0264076228,2019,1
0264076228,2020,0
0264076228,2021,1
0264076450,2018,0
0264076450,2020,0
0264076450,2021,0
0264076450,2022,0
0264077870,2021,1
0264078000,2020,1
0264078000,2021,1
0264078000,2022,1
0264079370,2020,0
0264079370,2021,1
0264079370,2022,1
0265015355,2018,1
0265015355,2019,1
0265015355,2020,0
0265015355,2021,0
0265015355,2022,0
0265016550,2018,1
0265016870,2018,1
0265016870,2019,1
0265016870,2020,1
0265016870,2021,1
0265016870,2022,1
0265025089,2018,1
0265025089,2019,1
0265025089,2020,1
0265025089,2021,1
0265025089,2022,1
0265025561,2018,0
0265025561,2019,1
0265025561,2020,1
0265025561,2021,1
0265025561,2022,1
0265026396,2018,3
0265026396,2019,2
0265026396,2020,3
0265026396,2021,5
0265026396,2022,3
0265027047,2018,8
0265027047,2019,11
0265027047,2020,8
0265027047,2021,7
0265027047,2022,9
0265029492,2018,8
0265029492,2019,8
0265029492,2020,6
0265029492,2021,6
0265029492,2022,4
