"region","count"
"Белгородская область",793300
"Брянская область",568200
"Владимирская область",679000
"Воронежская область",1136100
"Ивановская область",502100
"Калужская область",519900
"Костромская область",294500
"Курская область",544100
"Липецкая область",571900
"Московская область",3994300
"Орловская область",332900
"Рязанская область",498300
"Смоленская область",455700
"Тамбовская область",481700
"Тверская область",619200
"Тульская область",762600
"Ярославская область",619400
"Москва",7139500
"Республика Карелия",274800
"Республика Коми",379700
"Ненецкий автономный округ",21500
"Архангельская область",493300
"Вологодская область",530100
"Калининградская область",513200
"Ленинградская область",960400
"Мурманская область",387900
"Новгородская область",285600
"Псковская область",299700
"Санкт-Петербург",3038600
"Республика Адыгея",185200
"Республика Калмыкия",122500
"Республика Крым",873800
"Краснодарский край",2673900
"Астраханская область",465700
"Волгоградская область",1184600
"Ростовская область",2043500
"Севастополь",221400
"Республика Дагестан",1159400
"Республика Ингушетия",182300
"Кабардино-Балкарская республика",397400
"Карачаево-Черкесская республика",185600
"Республика Северная Осетия - Алания",268900
"Чеченская республика",557400
"Ставропольский край",1301000
"Республика Башкортостан",1828100
"Республика Марий Эл",312300
"Республика Мордовия",404200
"Республика Татарстан",1974000
"Удмуртская республика",725500
"Чувашская республика - Чувашия",578200
"Пермский край",1186200
"Кировская область",599100
"Нижегородская область",1663300
"Оренбургская область",898600
"Пензенская область",635200
"Самарская область",1623200
"Саратовская область",1115700
"Ульяновская область",583200
"Курганская область",336100
"Свердловская область",2031700
"Ханты-Мансийский автономный округ - Югра",893000
"Ямало-Ненецкий автономный округ",310300
"Тюменская область",697200
"Челябинская область",1760000
"Республика Алтай",85600
"Республика Тыва",107600
"Республика Хакасия",238000
"Алтайский край",1049200
"Красноярский край",1408200
"Иркутская область",1078100
"Кемеровская область - Кузбасс",1194100
"Новосибирская область",1341000
"Омская область",935800
"Томская область",509300
"Республика Бурятия",391500
"Забайкальский край",473800
"Республика Саха (Якутия)",465400
"Камчатский край",173900
"Приморский край",957800
"Хабаровский край",687500
"Амурская область",381000
"Магаданская область",82300
"Сахалинская область",259900
"Еврейская автономная область",72400
"Чукотский автономный округ",30300
