row,col,code,name
1,1,Спб,Санкт-Петербург
1,5,Мур,Мурманская область
2,17,Чук,Чукотский автономный округ
2,18,Кам,Камчатский край
2,4,Кар,Республика Карелия
2,10,Нен,Ненецкий автономный округ
2,1,Мск,Москва
3,11,Ямал,Ямало-Ненецкий автономный округ
3,16,Саха,Республика Саха (Якутия)
3,17,Маг,Магаданская область
3,3,Лен,Ленинградская область
3,4,Новг,Новгородская область
3,5,Воло,Вологодская область
3,9,Арх,Архангельская область
3,10,Коми,Республика Коми
3,14,Крас,Красноярский край
4,11,Хан,Ханты-Мансийский автономный округ - Югра
4,12,Тюм,Тюменская область
4,8,Мари,Республика Марий Эл
4,9,Кир,Кировская область
4,10,Пер,Пермский край
4,16,Амур,Амурская область
4,17,Хаб,Хабаровский край
4,19,Схлн,Сахалинская область
4,1,Кали,Калининградская область
4,3,Пск,Псковская область
4,13,Томск,Томская область
4,14,Кем,Кемеровская область - Кузбасс
4,15,Ирк,Иркутская область
4,4,Твeр,Тверская область
4,5,Яро,Ярославская область
4,6,Ива,Ивановская область
4,7,Кос,Костромская область
5,11,Свер,Свердловская область
5,12,Кург,Курганская область
5,7,Ниж,Нижегородская область
5,8,Чув,Чувашская республика - Чувашия
5,9,Тат,Республика Татарстан
5,10,Удм,Удмуртская республика
5,16,Евр,Еврейская автономная область
5,13,Ново,Новосибирская область
5,14,Хак,Республика Хакасия
5,15,Бур,Республика Бурятия
5,3,Смол,Смоленская область
5,4,Калу,Калужская область
5,5,Мос,Московская область
5,6,Вла,Владимирская область
6,11,Чел,Челябинская область
6,7,Мор,Республика Мордовия
6,8,Уль,Ульяновская область
6,9,Сам,Самарская область
6,10,Бшк,Республика Башкортостан
6,17,При,Приморский край
6,12,Омск,Омская область
6,13,Ал. к.,Алтайский край
6,14,Тыва,Республика Тыва
6,15,Заб,Забайкальский край
6,3,Бря,Брянская область
6,4,Орёл,Орловская область
6,5,Тул,Тульская область
6,6,Ряз,Рязанская область
7,7,Пен,Пензенская область
7,8,Сар,Саратовская область
7,9,Орен,Оренбургская область
7,14,Алт,Республика Алтай
7,4,Курск,Курская область
7,5,Лип,Липецкая область
7,6,Там,Тамбовская область
8,5,Бел,Белгородская область
8,6,Вор,Воронежская область
8,7,Волг,Волгоградская область
9,3,Крым,Республика Крым
9,2,Сев,Севастополь
9,4,Адыг,Республика Адыгея
9,5,Крдр,Краснодарский край
9,6,Рос,Ростовская область
9,7,Калм,Республика Калмыкия
9,8,Аст,Астраханская область
10,5,Кара,Карачаево-Черкесская республика
10,6,Став,Ставропольский край
10,7,Чеч,Чеченская республика
10,8,Даг,Республика Дагестан
11,5,Каб,Кабардино-Балкарская республика
11,6,Осeт,Республика Северная Осетия - Алания
11,7,Инг,Республика Ингушетия
